Restaurants_Name,Rating,Num_of_ratings,Cuisines,Cost,address,links
Ganpatlal Rajasthani Kachori,3.6,50+ ratings,Snacks,₹ 200 for two person,"SHOP NO.1, SARVODAY CERAMIC NR. H P PETROL PUMP, UDHANA MAGDALLA ROAD, SURAT.- 395017",https://www.swiggy.com/restaurants/ganpatlal-rajasthani-kachori-piplod-surat-474512
Mahaveer Prime Rabri Bhandar & Bhojnalaya,4.3,100+ ratings,Sweets,₹ 200 for two person,"9, Bhatar Rd, Poonam Nagar, Bhatar, Athwa, Surat, Gujarat 395017",https://www.swiggy.com/restaurants/mahaveer-prime-rabri-bhandar-and-bhojnalaya-bhatar-road-athwa-surat-136277
Karnavati Dabeli,3.9,1K+ ratings,Pizzas,₹ 150 for two person,"L/5, royal Palace, ghod dhod road, surat",https://www.swiggy.com/restaurants/karnavati-dabeli-ghod-dod-road-athwa-surat-125145
Taste Of Eggs,4.1,500+ ratings,"Street Food, Tandoor",₹ 200 for two person,"PLOT NO.4, ASHIRWAD TOWNSHOP 2 BAMROLI ROAD, UDHNA, Pandesara,Surat city,Surat Municipal corporation,Gujrat-394210",https://www.swiggy.com/restaurants/taste-of-eggs-bamroli-road-athwa-surat-214074
Surti Petis - Nanpura,4.7,100+ ratings,"Gujarati, Snacks",₹ 150 for two person,"1/827, GR FLOOR, ATHUGAR STREET PARSI LIABRERY NANPURA, SURAT 395001",https://www.swiggy.com/restaurants/surti-petis-nanpura-athwa-nanpura-surat-424889
Pizza Pie,4.2,50+ ratings,Pizzas,₹ 300 for two person,"1/704 Sarang building, Nanpura New Rd, opposite river palace, near Ramji Mandir, Nanpura, Surat, Gujarat",https://www.swiggy.com/restaurants/pizza-pie-nanpura-surat-307070
Kavya's Egg Corner,4.3,500+ ratings,"Fast Food, Mughlai",₹ 150 for two person,"Shop No-4, Ashirwad Township No.2, Bamroli Road, Surat City, Municipal Corporation, Gujarat",https://www.swiggy.com/restaurants/kavyas-egg-corner-athwa-bamroli-road-surat-321766
Jani Locho,4.3,5K+ ratings,"Gujarati, Snacks",₹ 200 for two person,"G-4, chandralok complex,next to mahavir petrol pump,navyug college road",https://www.swiggy.com/restaurants/jani-locho-rander-road-adajan-surat-152983
Honey Dabeli,3.8,100+ ratings,"Fast Food, Snacks",₹ 100 for two person,"nr. sarela complex , ghod dod road, surat",https://www.swiggy.com/restaurants/honey-dabeli-ghod-dod-road-athwa-surat-112307
Yammies Cake & Pastry,--,Too Few Ratings,Bakery,₹ 200 for two person,"""""""Shop no.2002,Vaibhav Complex,near rupali naher Bhatar road surat. , Surat City , Surat City, Surat Municipal Corporation, Gujarat-395001""""""",https://www.swiggy.com/restaurants/yammies-cake-and-pastry-bhatar-athwa-surat-507076
Mumbai Tadka,--,Too Few Ratings,"Continental, Snacks",₹ 200 for two person,"Shop no.6, Abhushan Complex, Below Alkapuri Bridge, Opp. Veer Savarkar Garden, Katargam, Surat-395004",https://www.swiggy.com/restaurants/mumbai-tadka-katargam-surat-396957
Leaf & Lean,--,Too Few Ratings,"Salads, Beverages",₹ 1000 for two person,"U 40 & 41, Happy Goldmines Shoppers, Rundh,  Vesu, Surat, Gujarat 395007, India",https://www.swiggy.com/restaurants/leaf-and-lean-vesu-piplod-surat-638172
The Belgian Waffle Co.,4.3,1K+ ratings,"Waffle, Desserts",₹ 270 for two person,"l6, Royal Palace, Opposite Abhinandan AC Market, Ghod Dod Road, City Light, Surat",https://www.swiggy.com/restaurants/the-belgian-waffle-co-ghod-dod-road-athwa-surat-64770
Krishna Bakery,3.7,100+ ratings,Pizzas,₹ 200 for two person,"21B,T.P.No. 3,0045 Paiki Plot no. 106, 107, Santoshi naagar Maruti chowk, L.H. Road, Surat(Guj.) 395006",https://www.swiggy.com/restaurants/krishna-bakery-lh-road-varachha-surat-176222
DR Bakery,--,Too Few Ratings,"Bakery, Desserts",₹ 300 for two person,"Ground Floor Shop, Darji Sheri, Nanpura bh nanpura post office, Nanpura HO surat 395001",https://www.swiggy.com/restaurants/dr-bakery-athwa-nanpura-surat-530114
Crave N Eat,--,Too Few Ratings,Sweets,₹ 299 for two person,"6047-A, AVADH RITURAJ HUB, PARVAT VILLAGE, GODADARA ROAD ,Surat Municipal Corporation,Gujarat-395012",https://www.swiggy.com/restaurants/crave-n-eat-road-godadara-surat-599321
Laxmi Food Inn,4.2,5K+ ratings,"Chinese, South Indian",₹ 300 for two person,"Opposite JK Petrol Pump, Varachha Road, Nana Varacha, Surat",https://www.swiggy.com/restaurants/laxmi-food-inn-opp-jk-petrol-pump-varachha-surat-70760
A One Cold Coco,4.1,5K+ ratings,Ice Cream,₹ 150 for two person,"2, Premji Nagar, Near Krishna Complex, Gujarat Gas Circle, Adajan Patiya, Surat",https://www.swiggy.com/restaurants/a-one-cold-coco-nr-gujarat-gas-circle-narotam-nagar-surat-74651
Tambul,4.5,500+ ratings,"Paan, Indian",₹ 100 for two person,"1, Ghod Dod Rd, Amarakunj Society, Athwa, Surat, Gujarat 395007, India",https://www.swiggy.com/restaurants/tambul-ghod-dod-road-athwa-surat-127932
Hotel Modern,4.1,1K+ ratings,"Closes soonPunjabi, Chinese",₹ 300 for two person,11 12 Abhinandan complex punakumbhariya road magob surat,https://www.swiggy.com/restaurants/hotel-modern-hira-moti-market-surat-surat-106025
Kathiyawadi Kitchen,3.3,20+ ratings,"Closes soonDesserts, North Indian",₹ 200 for two person,"Shop no 36 & 40, LGF, Sardar market, Dumbhal, surat 394211",https://www.swiggy.com/restaurants/kathiyawadi-kitchen-sardar-market-athwa-surat-474246
Shivam,3.3,20+ ratings,"Closes soonDesserts, Chinese",₹ 200 for two person,"Shop no 36 & 40, LGF, Sardar market, Dumbhal, surat 394211",https://www.swiggy.com/restaurants/shivam-athwa-dumbhal-surat-458470
Tulsi Restaurant,3.9,1K+ ratings,"Chinese, North Indian",₹ 180 for two person,"1st Floor, Udhna Bus Depot, Nr. Gurudwara, Surat Navsari Main, Surat 394210.",https://www.swiggy.com/restaurants/tulsi-restaurant-nr-bus-depot-udhna-surat-87882
Kudrati Kahumbo,4.6,100+ ratings,Ice Cream,₹ 200 for two person,"G-2, SANGINI MAGNUS, RANDER ROAD,  OPP. RUSHABH TOWER, SURAT , Surat  H.O, Surat City, Surat Municipal  Corporation, Gujarat - 395009",https://www.swiggy.com/restaurants/kudrati-kahumbo-rander-surat-389388
EGG.COM,4.0,500+ ratings,"Ice Cream, Biryani",₹ 300 for two person,"SHOP NO.68, F.F., SARDAR COMPLEX,  ADAJAN, Adajan Dn , Surat City, Surat  Municipal Corporation, Gujarat - 39500",https://www.swiggy.com/restaurants/egg-com-adajan-pal-surat-584677
The Creamery,4.0,20+ ratings,"Ice Cream, Beverages",₹ 200 for two person,"The Creamery (Athwalines), Beside Mysore Cafe, Daruwala Building, Athwalines,surat- 39500",https://www.swiggy.com/restaurants/the-creamery-athwa-athwalines-surat-486983
Yummy Mummy Healthy Foods,4.8,20+ ratings,South Indian,₹ 200 for two person,"903, Smita park, Sarela complex,Athwa ,Surat-395007",https://www.swiggy.com/restaurants/yummy-mummy-healthy-foods-athwa-surat-523518
Dal Bati,3.9,500+ ratings,"Closes soonRajasthani, Indian",₹ 150 for two person,11 12 Abhinandan complex punakumbhariya road magob surat,https://www.swiggy.com/restaurants/dal-bati-punakumbharia-rd-parvat-patiya-surat-361957
Urban China,--,Too Few Ratings,"Chinese, Indian",₹ 150 for two person,"PL. C, SHOP NO. 3, C.S. NO2012, B/S CHOCOLATE HOUSE, OPP., JADE BLUE, RANGILA PARK CHAR RASTA, GHOD DOD ROAD ,Surat City ,Surat City,Surat Municipal Corporation,Gujarat-395007",https://www.swiggy.com/restaurants/urban-china-ghod-dod-road-athwa-surat-640449
The Foodiezz,--,Too Few Ratings,"Closes soonDesserts, Chinese",₹ 200 for two person,"Shop no 36 & 40, LGF, Sardar market, Dumbhal, surat 394211",https://www.swiggy.com/restaurants/the-foodiezz-sardar-market-surat-458108
Shivam Fast Food,3.6,50+ ratings,"Burgers, Pizzas",₹ 150 for two person,"Shop no 06, jadav point opp Sanjivani hospital, bhatar char rasta, athwa",https://www.swiggy.com/restaurants/shivam-fast-food-athwa-surat-488363
Sai Fast Food,4.0,50+ ratings,"Italian, Beverages",₹ 200 for two person,"SHOP NO- UB-4, TRIBHUVAN COMPLEX,GHOD DOD ROAD, SURAT., Athwalines , Surat City, Surat Municipal Corporation, Gujarat - 395007",https://www.swiggy.com/restaurants/sai-fast-food-athwa-surat-438397
Saras Live Kela Wafers,--,Too Few Ratings,Snacks,₹ 100 for two person,"5R6Q+5G5, Ambika Nagar, Harinagar-2, Madhav Nagar, Udhna, Surat, Gujarat 394210, India",https://www.swiggy.com/restaurants/saras-live-kela-wafers-athwa-surat-412166
Cream N Crust Cafe,--,Too Few Ratings,"Burgers, Ice Cream",₹ 200 for two person,"THE SURAT TENNIS CLUB, NR. M.T.B. COLLAGE, OPP. NEW M.S. BUILDING, NR. CLASSIC HOTEL, ATHWALINESH, Surat Municipal Corporation, Gujarat-395007",https://www.swiggy.com/restaurants/cream-n-crust-cafe-athwa-surat-579761
Prem Egg House,4.1,50+ ratings,"Snacks, Indian",₹ 200 for two person,"NEAR USHA AUTO TYRES, OPP WELL COME PAN HOUSE, BAMROLI ROAD, UDHNA, SURAT, Surat City , Surat City, Surat Municipal Corporation, Gujarat - 394210",https://www.swiggy.com/restaurants/prem-egg-house-athwa-surat-503690
New Ramesh Mithai,4.6,100+ ratings,Sweets,₹ 200 for two person,"U-1/2/3- Madhuram, Bhatar Char Rasta, Surat",https://www.swiggy.com/restaurants/new-ramesh-mithai-bhatar-road-athwa-surat-140417
Vegji'S,4.0,5K+ ratings,"Pastas, Chinese",₹ 200 for two person,"LA 678, Tribhuvan Complex, Opposite Rajhans Complex, Ghod Dod, Athwa, Surat",https://www.swiggy.com/restaurants/vegjis-ghod-dod-road-surat-65404
Rajasthani Tadka,3.8,100+ ratings,"Closes soonRajasthani, Indian",₹ 200 for two person,"105 1st flor Hiramoti market, near New sardar market, puna kumbhariya road, , Surat City , Surat City, Surat, Gujarat - 395010",https://www.swiggy.com/restaurants/rajasthani-tadka-sardar-market-athwa-surat-421650
Hotel Sainath,--,Too Few Ratings,"Closes soonChinese, North Indian",₹ 200 for two person,"Ground floor, Shop no 36 & 40, LGF, Sardar market, Dumbhal, surat 394211",https://www.swiggy.com/restaurants/hotel-sainath-sardar-market-athwa-surat-451481
Sairam Juice & Fast Food,4.3,50+ ratings,"Fast Food, Juices",₹ 200 for two person,"BU-4,TRIBHUVAN COMPLEX,GHOD DOD ROAD,SURAT.- 395007",https://www.swiggy.com/restaurants/sairam-juice-and-fast-food-athwa-surat-511046
Apsara Ice Creams,4.5,500+ ratings,"Ice Cream, Desserts",₹ 150 for two person,"G-32, Muktanand Shopping Center, Muktanand Nagar Road, Near Gujarat Gas Circle, Muktanand Nagar, Adajan, Surat, Gujarat, 395009",https://www.swiggy.com/restaurants/apsara-ice-creams-adajan-narotam-nagar-surat-286573
Om Sai Fast Food,3.9,500+ ratings,"North Indian, Burgers",₹ 200 for two person,"Bh Pizza Hut, Tribhuvam Complex, Ghod Dod Road, Athwa, Surat",https://www.swiggy.com/restaurants/om-sai-fast-food-ghod-dod-road-athwa-surat-143460
Pizzariio,--,Too Few Ratings,Pizzas,₹ 500 for two person,"8, G.F., LAXMI PLAZA B/H LAXMI HOTEL, JAMNA CHEMBERS, NR. SHAKTI VIJAY SOC., VARACHHA ROAD, SURAT",https://www.swiggy.com/restaurants/pizzariio-varachha-surat-381917
Bhai Bhai Omelette,4.1,5K+ ratings,"Fast Food, Chinese",₹ 300 for two person,"shop no 14-15, sant vasuram shopping center opp shiv mahal hotel, adajan surat ",https://www.swiggy.com/restaurants/bhai-bhai-omelette-b-s-bhulka-bhawan-school-adajan-surat-93152
Martino'z Pizza,--,Too Few Ratings,"Pastas, Mexican",₹ 400 for two person,"SHOP NO.62, G.F., CITADELL, NR.  CNG PUMP, SURAT-KADODARA  MAIN ROAD, PAARVAT PATIYA,  MAGOB, Surat City, Surat Municipal  Corporation, Gujarat, 395010",https://www.swiggy.com/restaurants/martinoz-pizza-athwa-parvat-patiya-surat-601032
GREEN OVEN,--,Too Few Ratings,"Bakery, Burgers",₹ 200 for two person,"BUILDING NO A/28,JIVKOR NAGAR GHOD DOD ROAD MAJURA SURAT, Surat Municipal Corporation, Gujarat-395007",https://www.swiggy.com/restaurants/green-oven-jivkor-nagar-athwa-surat-621493
Mynaturals The Original Taste,--,Too Few Ratings,Ice Cream,₹ 850 for two person,"house no 41, yogi krupa society, near surya plaza, udhana road surat",https://www.swiggy.com/restaurants/mynaturals-the-original-taste-bhatar-athwa-surat-526961
Koolfilicious & Mor,--,Too Few Ratings,"Sweets, Bakery",₹ 300 for two person,"A-903 Meghdhanush Appt, Behind Green Avenue Joggers Park, Ghod dod road, Sarelawadi, Surat ,Gujarat 395007",https://www.swiggy.com/restaurants/koolfilicious-and-mor-athwa-ghod-dod-road-sarelawadi-surat-434076
Pureness & Co,--,Too Few Ratings,"Bakery, Snacks",₹ 200 for two person,"BUILDING NO A/28,JIVKOR NAGAR GHOD DOD ROAD MAJURA SURAT, Surat Municipal Corporation, Gujarat-395007",https://www.swiggy.com/restaurants/pureness-and-co-jivkor-nagar-athwa-surat-631270
The Bhukkad Cafe,--,Too Few Ratings,"Italian, Snacks",₹ 300 for two person,"SHOP G-33 MUKTANAND NAGAR ADAJAN SURAT, Surat Municipal Corporation, Gujarat-395009",https://www.swiggy.com/restaurants/the-bhukkad-cafe-muktanand-nagar-adajan-surat-633724
Nita's Kitchen & Fast Food,--,Too Few Ratings,Indian,₹ 500 for two person,"75, VIHAR SOCIETY 1, B/S VISHVESHVAR MAHADEV MANDIR THI 2JI SHERI, OPP. SARDAR HOSPITAL, VED ROAD, SURAT. 395004",https://www.swiggy.com/restaurants/nitas-kitchen-and-fast-food-vishveshvar-mahadev-mandir-ved-road-surat-640012
Eggs Corner,--,Too Few Ratings,Snacks,₹ 200 for two person,"Behind King's corner restaurant, canal road, Athwa, Surat, Gujarat 395007, India",https://www.swiggy.com/restaurants/eggs-corner-athwa-surat-511699
Janta Super Ice Cream,4.2,500+ ratings,Ice Cream,₹ 150 for two person,"2,bhumi complex, veer bhagat sinh marg, adajan surat",https://www.swiggy.com/restaurants/janta-super-ice-cream-bhoomi-complex-adajan-surat-95141
Gita'S Fast Food,3.2,50+ ratings,"Pizzas, Burgers",₹ 100 for two person,"A-3/1 .AMARDEEP COMPLEX, Surat City , Surat City, Surat Municipal Corporation, Gujarat - 394107",https://www.swiggy.com/restaurants/gitas-fast-food-sarthana-varachha-surat-581914
Om BABOSA Cloud Kitchen,--,Too Few Ratings,"Thalis, Beverages",₹ 300 for two person,"2nd Floor, Shop No. 214 Magnus Mall, Near Dhiraj Sons, Althan road , Surat City, Surat",https://www.swiggy.com/restaurants/om-babosa-cloud-kitchen-piplod-surat-556975
Sizzling Pizza by Sizzling Culture,3.8,500+ ratings,"Pizzas, Chinese",₹ 300 for two person,"107,108 EON Square, Next to Shell Petrol Pump, LP Savani Road, Adajan",https://www.swiggy.com/restaurants/sizzling-pizza-by-sizzling-culture-eon-square-adajan-surat-257785
Shree Khodiyar Kathiyawadi Dhaba,4.3,20+ ratings,"Closes soonThalis, Gujarati",₹ 350 for two person,"FIRST FLOOR 101 TO 105, 201 TO 203, PALASH PALLADIA, B/H. KIRAN MOTORS, NR GALAXY CIRCLE, GREEN CITY ROAD, PAL, SURAT, SURAT MUNICIPAL CORPORATION,SURAT MUNICIPAL CORPORATION (GUJARAT)-FIRST FLOOR 101",https://www.swiggy.com/restaurants/shree-khodiyar-kathiyawadi-dhaba-green-city-road-adajan-surat-648417
Happy Egg Point,3.3,100+ ratings,"Thalis, Snacks",₹ 150 for two person,"G-18 BLU TRIO NEIGHBOURHOOD CENTER GREEN CITY ROAD, ADAJAN",https://www.swiggy.com/restaurants/happy-egg-point-green-city-road-adajan-surat-415212
Shree Swaminarayan Chhapaiyavala Bekary & Namkeen,--,Too Few Ratings,"Snacks, Indian",₹ 250 for two person,"SHOP NO 2 GR FLOOR,DHRUV PALACE,SHREE RAM COLONY,DABHOLI ROAD, Dabholi , Surat - 395004",https://www.swiggy.com/restaurants/shree-swaminarayan-chhapaiyavala-bekary-and-namkeen-varachha-surat-558076
Mukesh Egg Center,4.5,100+ ratings,"Fast Food, Snacks",₹ 300 for two person,"2/803,Hiramodi ni Sheri,Bhandariwad,Sagrampura Main Road,Udhna darwaja,Surat. 395002",https://www.swiggy.com/restaurants/mukesh-egg-center-marvella-corridor-vesu-sagrampura-surat-153036
Mahesh Bhandari Chicken Center,3.7,1K+ ratings,North Indian,₹ 200 for two person,17-a adajan char rasta shranjivi colony adajan surat,https://www.swiggy.com/restaurants/mahesh-bhandari-chicken-center-char-rasta-adajan-surat-131247
The Foodiez Point,3.7,1K+ ratings,"Chinese, Singaporean",₹ 200 for two person,"shop-G39,silver sprig apartment opposite shree ram petrol pump, Anand mahal road, adajan.",https://www.swiggy.com/restaurants/the-foodiez-point-opp-gail-tower-adajan-surat-106049
Royal Schez,3.8,100+ ratings,"Indian, Chinese",₹ 300 for two person,"6, Vitoria green, near botanical garden, Jahangirabad, Morabhagal, Surat, Gujarat 395005, India",https://www.swiggy.com/restaurants/royal-schez-adajan-surat-396697
Tawakal Biryani Center,3.6,1K+ ratings,Biryani,₹ 250 for two person,"10/2269, zaveri mention, sonifalia , chowk , surat",https://www.swiggy.com/restaurants/tawakal-biryani-center-chowk-bazar-surat-153039
The Dessert Heaven - Pure Veg,4.5,20+ ratings,"Bakery, Desserts",₹ 200 for two person,"A/5, 1st, FLOOR JIVKOR NAGAR, ABHATAR ROAD NO. -149, SURAT ,Surat, Surat, Gujarat, 395007",https://www.swiggy.com/restaurants/the-dessert-heaven-pure-veg-jivkor-nagar-athwa-surat-621732
Shiv Shakti Paneer Chole Bhature,--,Too Few Ratings,Indian,₹ 300 for two person,"""""""GROUND FLOOR 51-52, KAMLA ESTATE,  KOHINOOR SAVANI ROAD, BEHIND  GITANJALI PETROL PUMP, VARACHHA  ROAD, SURAT.395006""""""",https://www.swiggy.com/restaurants/shiv-shakti-paneer-chole-bhature-varachha-surat-494433
Narangi Ice Cream,--,Too Few Ratings,"Ice Cream, Desserts",₹ 150 for two person,"shop no-21,SHANTANU RES,B/H.RAGHUNANDAN ROW HOUSE,CNG ROADA,GODADRA SURAT",https://www.swiggy.com/restaurants/narangi-ice-cream-cng-roada-dindoli-surat-614042
Oven Story Pizza,4.0,1K+ ratings,Pizzas,₹ 400 for two person,"Chalta no 23, Ground Floor, Guru Ashish Building, Below Stallon Gym, Opp Kotyark Nagar, Near Navyug College, Adajan, Surat 395005",https://www.swiggy.com/restaurants/oven-story-pizza-nr-navyug-college-rander-road-adajan-patiya-surat-193542
Farki,4.5,20+ ratings,"Beverages, Desserts",₹ 200 for two person,"SHOP NO.8,JIVANDEEP COMPLEX,VARACHHA  ROAD,NEAR HIRA BAUG,SURAT.",https://www.swiggy.com/restaurants/farki-nr-hira-baug-varachha-surat-391988
Mansukhlal L Bhayani,--,Too Few Ratings,"Sweets, Snacks",₹ 100 for two person,"5R46+XH7, Uma Bhawan Society, Althan, Surat, Gujarat 395017, India",https://www.swiggy.com/restaurants/mansukhlal-l-bhayani-athwa-surat-506804
Rajbhog Icecream and Kulfi,--,Too Few Ratings,"Desserts, Ice Cream",₹ 150 for two person,"10 , Ankur Shopping Centre , Opp. Vijay Dairy , Near Gujarat Gas Circle , Adajan , Surat.",https://www.swiggy.com/restaurants/rajbhog-icecream-and-kulfi-gujarat-gas-circle-adajan-surat-584925
Grenee Adajan,4.1,500+ ratings,"South Indian, Pizzas",₹ 200 for two person,"GRENEE - Adajan, Shop no. 12, Sant Vasuram Shopping Centre, Opp. Shiv Mahal Hotel, Near Gujarat Gas Circle, Adajan, Surat",https://www.swiggy.com/restaurants/grenee-adajan-gujarat-gas-circle-adajan-surat-302395
Pizza's Villa,--,Too Few Ratings,"Italian, Fast Food",₹ 300 for two person,"HG-4, PARSHWADARSHAN COMPLEX, OPP. NAVYUG COLLEGE, RANDER ROAD, Surat City, Surat Municipal Corporation, , Gujarat, 395009",https://www.swiggy.com/restaurants/pizzas-villa-rander-road-adajan-surat-651671
Patel Chinese	,--,Too Few Ratings,Chinese,₹ 300 for two person,"NEAR NO.1 & 2 MUNICIPAL SCHOOL,OLPADI MAHOLLA, ATHWALINES,SURAT",https://www.swiggy.com/restaurants/patel-chinese-olpadi-maholla-athwa-surat-666060
B Blast,--,Too Few Ratings,Ice Cream,₹ 250 for two person,"SHOP NO. 11, SANT VASURAM SHOP  HOL.CO.OP. LTD., NR. ADAJAN PUMPING STATION, ADAJAN ROAD, Surat",https://www.swiggy.com/restaurants/b-blast-adajan-adajan-pumping-station-surat-572599
La Milano Pizzeria,4.2,1K+ ratings,Pizzas,₹ 198 for two person,"Laxmi Circle, opposite Gajera School, Rajanand Society, Ram Nagar Society, Katargam, Surat, Gujarat 395004, India",https://www.swiggy.com/restaurants/la-milano-pizzeria-katargam-varachha-surat-432043
The Biryani Life,4.0,1K+ ratings,"Biryani, Hyderabadi",₹ 250 for two person,"Chalta no 23, Ground Floor, Guru Ashish Building, Below Stallon Gym, Opp Kotyark Nagar, Near Navyug College, Adajan, Surat 395005",https://www.swiggy.com/restaurants/the-biryani-life-nr-navyug-college-rander-road-adajan-patiya-surat-270622
Faasos - Wraps & Rolls,4.2,5K+ ratings,"Fast Food, North Indian",₹ 500 for two person,"Chalta no 23, Ground Floor, Guru Ashish Building, Below Stallon Gym, Opp Kotyark Nagar, Near Navyug College, Adajan, Surat 395005",https://www.swiggy.com/restaurants/faasos-wraps-and-rolls-nr-navyug-college-rander-road-adajan-patiya-surat-193526
LunchBox - Meals and Thalis,4.1,1K+ ratings,"North Indian, Punjabi",₹ 300 for two person,"Chalta no 23, Ground Floor, Guru Ashish Building, Below Stallon Gym, Opp Kotyark Nagar, Near Navyug College, Adajan, Surat 395005",https://www.swiggy.com/restaurants/lunchbox-meals-and-thalis-nr-navyug-college-rander-road-adajan-patiya-surat-193557
Behrouz Biryani,4.3,1K+ ratings,"Biryani, Mughlai",₹ 500 for two person,"Chalta no 23, Ground Floor, Guru Ashish Building, Below Stallon Gym, Opp Kotyark Nagar, Near Navyug College, Adajan, Surat 395005",https://www.swiggy.com/restaurants/behrouz-biryani-nr-navyug-college-rander-road-adajan-patiya-surat-193541
Urban Punjab,4.0,5K+ ratings,"Punjabi, Indian",₹ 250 for two person,"86, Ground Floor, Shreeji Arcade, Anand Mahal Road, Adajan, Adajan Gam, Surat",https://www.swiggy.com/restaurants/urban-punjab-majura-gate-adajan-surat-65430
Sweet Truth - Cake and Desserts,4.3,500+ ratings,"Bakery, Desserts",₹ 450 for two person,"Chalta no 23, Ground Floor, Guru Ashish Building, Below Stallon Gym, Opp Kotyark Nagar, Near Navyug College, Adajan, Surat 395005",https://www.swiggy.com/restaurants/sweet-truth-cake-and-desserts-nr-navyug-college-rander-road-adajan-patiya-surat-193550
The Good Bowl,4.2,1K+ ratings,"North Indian, Punjabi",₹ 400 for two person,"Chalta no 23, Ground Floor, Guru Ashish Building, Below Stallon Gym, Opp Kotyark Nagar, Near Navyug College, Adajan, Surat 395005",https://www.swiggy.com/restaurants/the-good-bowl-nr-navyug-college-rander-road-adajan-patiya-surat-193551
Faasos' Signature Wraps & Rolls,4.2,50+ ratings,"Snacks, Beverages",₹ 350 for two person,"Chalta no 23, Ground Floor, Guru Ashish Building, Below Stallon Gym, Opp Kotyark Nagar, Near Navyug College, Adajan, Surat 395005",https://www.swiggy.com/restaurants/faasos-signature-wraps-and-rolls-nr-navyug-college-rander-road-adajan-patiya-surat-566378
Shalimar Biryani & Tava Fry,4.3,10K+ ratings,"North Indian, Pizzas",₹ 200 for two person,"Opp. Causway Circle, Nr. Gymkhana,, Sultaniya, Rander, Surat, Gujarat 395005",https://www.swiggy.com/restaurants/shalimar-biryani-and-tava-fry-rander-new-rander-road-surat-77602
Firangi Bake,4.2,100+ ratings,"Italian, Mexican",₹ 500 for two person,"Chalta no 23, Ground Floor, Guru Ashish Building, Below Stallon Gym, Opp Kotyark Nagar, Near Navyug College, Adajan, Surat 395005",https://www.swiggy.com/restaurants/firangi-bake-nr-navyug-college-rander-road-adajan-patiya-surat-193543
Pure Veg Meals by Lunchbox,4.1,50+ ratings,"North Indian, Desserts",₹ 200 for two person,"Chalta no 23, Ground Floor, Guru Ashish Building, Below Stallon Gym, Opp Kotyark Nagar, Near Navyug College, Adajan, Surat 395005",https://www.swiggy.com/restaurants/pure-veg-meals-by-lunchbox-nr-navyug-college-rander-road-adajan-surat-263797
Vrindaavan (Ghod Dod),4.5,50+ ratings,"Desserts, Sweets",₹ 150 for two person,"shop no 4-5, roopa apartment opp. Gurukripa society ghod dod road 395007",https://www.swiggy.com/restaurants/vrindaavan-ghod-dod-ghod-dod-road-athwa-surat-484237
Cake It Out,4.4,1K+ ratings,"Desserts, Ice Cream",₹ 300 for two person,"Shop 5, Royal Residency, Near Mahalaxmi Temple, Anandmahal Road, Adajan Gam, Surat",https://www.swiggy.com/restaurants/cake-it-out-nr-mahalaxmi-temple-adajan-surat-97063
Surendranagar Snacks,4.2,5K+ ratings,Pizzas,₹ 80 for two person,"Shop No.2,5, Ground floor, Flat No.4, First floor, Shree Valinath co-op Housing society, Kapodara, Varachha, surat",https://www.swiggy.com/restaurants/surendranagar-snacks-kapodra-varachha-surat-129584
Baskin Robbins,4.1,50+ ratings,"Desserts, Ice Cream",₹ 250 for two person,"C paiki, Chalta no. 23, Guru Ashish Building, Ground Floor, Opp Kotyark Nagar, Rander Road, Surat 395005",https://www.swiggy.com/restaurants/baskin-robbins-rander-road-surat-429888
The Brooklyn Creamery - Healthy Ice Cream,4.4,100+ ratings,"Desserts, Ice Cream",₹ 200 for two person,"C paiki, Chalta no. 23, Guru Ashish Building, Ground Floor, Opp Kotyark Nagar, Rander Road, Surat 395005",https://www.swiggy.com/restaurants/the-brooklyn-creamery-healthy-ice-cream-adajan-fc-althan-bhatar-surat-410476
Veg Daawat by Behrouz,--,Too Few Ratings,"Biryani, Mughlai",₹ 500 for two person,"Chalta no 23, Ground Floor, Guru Ashish Building, Below Stallon Gym, Opp Kotyark Nagar, Near Navyug College, Adajan, Surat 395005",https://www.swiggy.com/restaurants/veg-daawat-by-behrouz-nr-navyug-college-rander-road-adajan-patiya-surat-575119
Shree Natraj Fast Food,--,Too Few Ratings,"Pizzas, Street Food",₹ 150 for two person,Shop no 2 G.F PURVI SOC 2 HIRA BAUG VARACCHA ROAD SURAT 395006,https://www.swiggy.com/restaurants/shree-natraj-fast-food-hira-baug-varachha-surat-667166
Desserts Bar,--,Too Few Ratings,"Bakery, Desserts",₹ 200 for two person,"Amardeep Apartment, Amardeep Apartment Near Krishna Palace, New Bhatar Road, Udhana - Magdalla Rd, Bhatar Char Rasta, New City Light, Althan, Surat, Gujarat 395017, India",https://www.swiggy.com/restaurants/desserts-bar-udhana-magdalla-rd-athwa-surat-636869
Thalaivaa,4.4,1K+ ratings,"South Indian, Biryani",₹ 300 for two person,"G-7-8-21, Ground floor, Meghmayur Complex, Opposite Jaani Farsan, Parle point, City Light, Surat",https://www.swiggy.com/restaurants/thalaivaa-city-light-athwa-surat-65838
Starbucks Coffee,4.3,1K+ ratings,"Beverages, Ice Cream",₹ 400 for two person,"G 1 and M 1, SNS Saigon, Near Jani Farsan Parlepoint, Athwalines, Surat 395007",https://www.swiggy.com/restaurants/starbucks-coffee-lines-athwa-surat-236434
